id_person,id_drinks
1,1
2,2
3,1
4,3
5,1
6,4
7,3
8,1
9,1
10,1
11,5
12,6
13,7
14,1
15,8
16,9
17,8
18,3
19,8
20,4
21,3
22,1
23,3
24,3
25,4
26,4
27,1
28,4
29,10
30,3
31,7
32,8
33,11
34,4
35,4
36,3
37,12
38,8
39,3
40,7
41,1
42,1
43,13
44,3
45,1
46,13
47,14
48,7
49,1
50,4
51,5
52,13
53,3
54,15
55,16
56,4
57,8
58,13
59,4
60,17
61,5
62,3
63,1
64,1
65,8
66,1
67,3
68,1
69,18
70,14
71,4
72,19
73,20
74,17
75,14
76,21
77,1
78,14
79,14
80,4
81,22
82,4
83,1
84,23
85,4
86,3
87,16
88,4
89,24
90,8
91,8
92,9
93,25
94,4
95,4
96,4
97,1
98,13
99,13
100,1
101,8
102,4
103,10
104,3
105,3
106,4
107,1
108,8
109,16
110,5
111,3
112,13
113,3
114,3
115,3
116,1
117,8
118,1
119,3
120,26
121,4
122,1
123,8
124,1
125,8
126,1
127,3
128,27
129,13
130,11
131,1
132,13
133,28
134,3
135,8
136,4
137,4
138,29
139,30
140,1
141,31
142,1
143,8
144,13
145,32
146,7
147,4
148,13
149,3
150,1
151,3
152,1
153,3
154,29
155,1
156,4
157,8
158,4
159,26
160,3
161,13
162,3
163,3
164,24
165,31
166,8
167,1
168,3
169,3
170,8
171,1
172,1
173,3
174,18
175,16
176,3
177,8
178,10
179,3
180,31
181,4
182,13
183,1
184,13
185,11
186,4
187,26
188,26
189,29
190,4
191,4
192,6
193,25
194,33
195,5
196,3
197,3
198,1
199,8
200,13
201,17
202,8
203,13
204,17
205,1
206,4
207,4
208,22
209,3
210,3
211,4
212,8
213,4
214,1
215,1
216,5
217,1
218,34
219,4
220,7
221,35
222,8
223,29
224,17
225,4
226,11
227,13
228,4
229,16
230,17
231,26
232,16
233,19
234,1
235,1
236,1
237,22
238,8
239,16
240,34
241,7
242,4
243,1
244,31
245,35
246,3
247,14
248,8
249,36
250,4
251,1
252,7
253,3
254,3
255,4
256,1
257,16
258,20
259,8
260,13
261,8
262,6
263,4
264,8
265,36
266,13
267,4
268,4
269,3
270,3
271,31
272,8
273,1
274,1
275,8
276,4
277,37
278,5
279,3
280,1
281,1
282,1
283,13
284,37
285,4
286,8
287,8
288,29
289,8
290,11
291,3
292,4
293,8
294,3
295,1
296,13
297,3
298,4
299,8
300,26
301,8
302,4
303,7
304,3
305,17
306,1
307,1
308,13
309,17
310,8
311,4
312,1
313,8
314,3
315,8
316,3
317,13
318,3
319,13
320,8
321,3
322,8
323,1
324,1
325,8
326,8
327,1
328,8
329,7
330,8
331,8
332,3
333,1
334,23
335,9
336,8
337,4
338,3
339,10
340,38
341,1
342,13
343,1
344,1
345,4
346,4
347,8
348,29
349,1
350,11
351,8
352,3
353,13
354,4
355,4
356,13
357,4
358,8
359,13
360,3
361,13
362,4
363,1
364,1
365,1
366,3
367,3
368,3
369,1
370,3
371,13
372,6
373,8
374,4
375,3
376,17
377,8
378,4
379,13
380,1
381,39
382,8
383,8
384,1
385,38
386,4
387,8
388,13
389,11
390,3
391,31
392,3
393,26
394,4
395,8
396,1
397,13
398,16
399,8
400,8
401,1
402,4
403,1
404,26
405,1
406,4
407,4
408,8
409,1
410,31
411,1
412,18
413,1
414,15
415,1
416,5
417,40
418,1
419,1
420,13
421,9
422,35
423,4
424,13
425,8
426,4
427,37
428,4
429,13
430,12
431,8
432,4
433,13
434,8
435,4
436,31
437,8
438,3
439,1
440,3
441,8
442,13
443,1
444,4
445,3
446,13
447,3
448,4
449,13
450,3
451,4
452,3
453,3
454,8
455,8
456,8
457,1
458,8
459,13
460,29
461,8
462,4
463,4
464,13
465,1
466,8
467,13
468,13
469,13
470,3
471,4
472,9
473,1
474,8
475,13
476,13
477,1
478,38
479,13
480,1
481,13
482,40
483,1
484,8
485,13
486,3
487,1
488,14
489,26
490,13
491,35
492,8
493,13
494,8
495,4
496,41
497,3
498,1
499,8
500,13
501,31
502,3
503,42
504,16
505,43
506,42
507,7
508,5
509,26
510,1
511,26
512,44
513,13
514,42
515,44
516,43
517,4
518,13
519,3
520,30
521,15
522,45
523,8
524,13
525,13
526,8
527,13
528,8
529,13
530,8
531,13
532,31
533,44
534,1
535,1
536,8
537,1
538,13
539,13
540,13
541,8
542,3
543,1
544,4
545,3
546,8
547,8
548,8
549,13
550,3
551,31
552,17
553,43
554,3
555,43
556,1
557,1
558,3
559,1
560,43
561,42
562,7
563,42
